State,County,Category Code,Site ID,Proposed Date,HRS_Score,Site_Contaminants,Year,County_Population,Total_Cancer_Count_M/F,Total_Cancer_Count_Female,Total_Cancer_Count_Male,Total_Cancer_Count_Hisp_M/F,Total_Cancer_Count_Hisp_F,Total_Cancer_Count_Hisp_M,Combined_Cancer_Rate
CA,NEVADA,MP; MI; MT,904343,1998-09-29,33.65999985,"ANTIMONY,ARSENIC,BARIUM,BERYLLIUM,CADMIUM,COBALT,COPPER,CYANIDE,IRON,LEAD,MANGANESE,MERCURY,NICKEL,SELENIUM,SILVER,ZINC",1998,493717.0,3336.0,1646.0,1690.0,113.0,63.0,50.0,405.7
CA,SANTA BARBARA,WM,901257,2001-06-14,30.0,"(Z)-1,3-DICHLORO-1-PROPENE,1,1,1-TRICHLOROETHANE,1,1,2,2-TETRACHLOROETHANE,1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE,1,1,2-TRICHLOROETHANE,1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,1,2,3,4,6,7,8,9-OCTACHLORODIBENZOFURAN,1,2,3,4,6,7,8,9-OCTACHLORODIBENZO[b,e][1,4]DIOXIN (OCDD),1,2,3,4,6,7,8-HEPTACHLORODIBENZO[b,e][1,4]DIOXIN (HpCDD),1,2,3,4,6,7,8-Heptachlorodibenzofuran,1,2,3,4,7,8,9-Heptachlorodibenzofuran,1,2,3,4,7,8-HEXACHLORODIBENZOFURAN (HxCDF),1,2,3,4,7,8-HEXACHLORODIBENZO[b,e][1,4]DIOXIN (HxCDD),1,2,3,6,7,8-HEXACHLORODIBENZOFURAN (HxCDF),1,2,3,6,7,8-HEXACHLORODIBENZO[b,e][1,4]DIOXIN (HxCDD),1,2,3,7,8,9-HEXACHLORODIBENZO-p-DIOXIN (HxCDD),1,2,3,7,8,9-HEXACHLORODIBENZOFURAN (HxCDF),1,2,3,7,8-PENTACHLORODIBENZOFURAN,1,2,3,7,8-PENTACHLORODIBENZO[b,e][1,4]DIOXIN (PeCDD),1,2-DICHLOROETHANE,1,2-DICHLOROPROPANE,1,2-DIMETHYLBENZENE (O-XYLENE),1,3-BUTADIENE,1,4-DIOXANE,2,3,4,6,7,8-Hexachlorodibenzofuran,2,3,4,7,8-PENTACHLORODIBENZOFURAN (PeCDF),2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD),2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD) TOXICITY EQUIVALENTS (TEq),2-BUTANONE (METHYL ETHYL KETONE),2-METHOXY-2-METHYLPROPANE (MTBE),9H-FLUORENE,ACENAPHTHYLENE,ALUMINUM,ANTIMONY,ARSENIC,BARIUM,BENZENE,BENZO(B)FLUORANTHENE,BENZO(GHI)PERYLENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,BERYLLIUM,BIS(2-ETHYLHEXYL)PHTHALATE,BROMODICHLOROMETHANE,BROMOFORM,CADMIUM,CARBON TETRACHLORIDE,CHLORDANE,CHLORINATED DIOXINS AND FURANS,CHLOROBENZENE,CHLOROETHENE (VINYL CHLORIDE),CHLOROFORM,CHROMIUM,CHRYSENE,CIS-1,2-DICHLOROETHENE,COPPER,CYANIDE,DIBENZO(A,H)ANTHRACENE,DICHLOROMETHANE (METHYLENE CHLORIDE),DIOXINS AND DIBENZOFURANS,ENDRIN,ETHYLBENZENE,FLUORANTHENE,GAMMA-HEXACHLOROCYCLOHEXANE (LINDANE),HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,LEAD,MANGANESE,MECOPROP,MERCURY,MIREX,MOLYBDENUM,NAPHTHALENE,NICKEL,P,P'-DDE,P,P'-DDT,PENTACHLOROPHENOL,PESTICIDES,POLYCHLORINATED BIPHENYLS (PCBs),PYRENE,SELENIUM,STYRENE,TETRACHLOROETHENE,THALLIUM,TOLUENE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE,TRICHLOROFLUOROMETHANE,VANADIUM,XYLENE (MIXED ISOMERS),ZINC",2001,2224477.0,10931.0,5358.0,5573.0,,,,436.3
CO,BOULDER,MI,800892,2003-04-30,50.56000137,"ANTIMONY,ARSENIC,CADMIUM,COPPER,LEAD,MANGANESE,THALLIUM,ZINC",2003,1643238.0,7359.0,3724.0,3635.0,528.0,293.0,235.0,393.3
CO,DENVER,MP,801646,1999-01-19,50.0,"ARSENIC,LEAD,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS)",1999,3465252.0,13470.0,7010.0,6460.0,2648.0,1453.0,1195.0,408.2
CT,NEW HAVEN,WM,102953,2000-05-11,50.0,"ANTIMONY,ARSENIC,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,CHLORINATED DIOXINS AND FURANS,CHLOROETHENE (VINYL CHLORIDE),CHLOROFORM,CHROMIUM,CHROMIUM(VI),DIBENZO(A,H)ANTHRACENE,INDENO(1,2,3-CD)PYRENE,NICKEL,POLYCHLORINATED BIPHENYLS (PCBs),TRICHLOROETHENE,VANADIUM",2000,4287223.0,26193.0,13277.0,12916.0,,,,477.2
DC,DISTRICT OF COLUMBIA,MP,300031,1998-03-06,48.56999969,"1,2,3,4,6,7,8-HEPTACHLORODIBENZO[b,e][1,4]DIOXIN (HpCDD),1,2,3,7,8,9-HEXACHLORODIBENZO-p-DIOXIN (HxCDD),1,2,3,7,8-PENTACHLORODIBENZOFURAN,ALUMINUM,ANTIMONY,AROCLOR 1260,ARSENIC,BARIUM,BENZENE,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,BETA-HEXACHLOROCYCLOHEXANE,BROMODICHLOROMETHANE,CADMIUM,CHLOROFORM,CHROMIUM,CHROMIUM(VI),COPPER,DELTA-HEXACHLOROCYCLOHEXANE,DIBENZO(A,H)ANTHRACENE,DIBENZOFURAN,DIBROMOCHLOROMETHANE,INDENO(1,2,3-CD)PYRENE,IRON,LEAD,MANGANESE,NICKEL,P,P'-DDD,P,P'-DDE,P,P'-DDT,THALLIUM,VANADIUM,VANADIUM, METAL AND/OR ALLOY",1998,3370464.0,14133.0,7521.0,6612.0,643.0,348.0,295.0,427.6
FL,BAY,OT,401205,1996-06-17,50.0,"ANTIMONY,AROCLOR 1254,AROCLOR 1260,ARSENIC,BENZO[A]PYRENE EQUIVALENTS (BaPEq),LEAD,POLYCYCLIC AROMATIC HYDROCARBONS, HIGH MOLECULAR WEIGHT (HPAHS)",1996,877477.0,5009.0,2267.0,2742.0,85.0,35.0,50.0,463.7
FL,BROWARD,RE,406469,1997-04-01,50.0,"1,1,1-TRICHLOROETHANE,1,1,2,2-TETRACHLOROETHANE,1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,1,2-DICHLOROETHENE (CIS AND TRANS MIXTURE),ARSENIC,BENZENE,BENZO[A]PYRENE,BIS(2-ETHYLHEXYL)PHTHALATE,BROMODICHLOROMETHANE,CHLOROETHANE,CHLOROETHENE (VINYL CHLORIDE),CHLOROFORM,CIS-1,2-DICHLOROETHENE,ETHYLBENZENE,IRON,N,N-DIPROPYLNITROUS AMIDE,TETRACHLOROETHENE,TOLUENE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE,XYLENE (MIXED ISOMERS)",1997,9333041.0,50100.0,25296.0,24804.0,8983.0,4906.0,4077.0,445.6
FL,HILLSBOROUGH,MP,400537,1996-06-17,59.810001369999995,"1,2-DICHLOROETHANE,ALDRIN,ALPHA-HEXACHLOROCYCLOHEXANE,ALUMINUM,ARSENIC,ATRAZINE,BERYLLIUM,BETA-HEXACHLOROCYCLOHEXANE,BIS(2-ETHYLHEXYL)PHTHALATE,BROMODICHLOROMETHANE,CADMIUM,CARBOPHENOTHION,CHLORDANE,CHLOROBENZENE,CHLOROFORM,CHROMIUM,DELTA-HEXACHLOROCYCLOHEXANE,DIELDRIN,ENDOSULFAN I,ENDOSULFAN II,ENDOSULFAN SULFATE,ENDRIN,FONOFOS,GAMMA-HEXACHLOROCYCLOHEXANE (LINDANE),HEPTACHLOR,HEPTACHLOR EPOXIDE,LEAD,MANGANESE,MOLINATE,NICKEL,NOT PROVIDED,P,P'-DDD,P,P'-DDE,P,P'-DDT,PEBULATE,S-ETHYL N,N-DIPROPYLCARBAMOTHIOATE (EPTC),THALLIUM,TOXAPHENE,TRICHLOROETHANE (MIXED ISOMERS),VERNOLATE,XYLENE (MIXED ISOMERS),ZINC",1996,6510264.0,32111.0,15723.0,16388.0,5378.0,2772.0,2606.0,464.7
FL,HILLSBOROUGH,OT,405001,2000-02-04,41.90999985,"1,1,2,2-TETRACHLOROETHANE,CHLOROETHENE (VINYL CHLORIDE),CIS-1,2-DICHLOROETHENE,IRON,MANGANESE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE,ZINC",2000,7123480.0,38201.0,18979.0,19222.0,,,,484.0
